DataPoint,Cycle Index,Step Index,Step Type,Time,Total Time,Current(A),Voltage(V),Capacity(Ah),Spec. Cap.(mAh/g),Chg. Cap.(Ah),Chg. Spec. Cap.(mAh/g),DChg. Cap.(Ah),DChg. Spec. Cap.(mAh/g),Energy(Wh),Spec. Energy(mWh/g),Chg. Energy(Wh),Chg. Spec. Energy(mWh/g),DChg. Energy(Wh),DChg. Spec. Energy(mWh/g),Date,Power(W),dQ/dV(mAh/V),dQm/dV(mAh/V.g),Contact resistance(mO),Module start-stop switch,SOC/DOD(%),LgD
60,1,1,Rest,00:29:30,00:29:30,0.00000000,0.5994,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:53:13,0.00000000,0.0000,0.0000,0,Close,0.00,
61,1,1,Rest,00:30:00,00:30:00,0.00000000,0.5994,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:53:43,0.00000000,0.0000,0.0000,0,Close,0.00,
62,1,1,Rest,00:30:30,00:30:30,0.00000000,0.5994,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:54:13,0.00000000,0.0000,0.0000,0,Close,0.00,
63,1,1,Rest,00:31:00,00:31:00,0.00000000,0.5993,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:54:43,0.00000000,0.0000,0.0000,0,Close,0.00,
64,1,1,Rest,00:31:30,00:31:30,0.00000000,0.5993,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:55:13,0.00000000,0.0000,0.0000,0,Close,0.00,
65,1,1,Rest,00:32:00,00:32:00,0.00000000,0.5993,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:55:43,0.00000000,0.0000,0.0000,0,Close,0.00,
66,1,1,Rest,00:32:30,00:32:30,0.00000000,0.5992,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:56:13,0.00000000,0.0000,0.0000,0,Close,0.00,
67,1,1,Rest,00:33:00,00:33:00,0.00000000,0.5992,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:56:43,0.00000000,0.0000,0.0000,0,Close,0.00,
68,1,1,Rest,00:33:30,00:33:30,0.00000000,0.5991,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:57:13,0.00000000,0.0000,0.0000,0,Close,0.00,
69,1,1,Rest,00:34:00,00:34:00,0.00000000,0.5991,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:57:43,0.00000000,0.0000,0.0000,0,Close,0.00,
70,1,1,Rest,00:34:30,00:34:30,0.00000000,0.5991,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:58:13,0.00000000,0.0000,0.0000,0,Close,0.00,
71,1,1,Rest,00:35:00,00:35:00,0.00000000,0.5990,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:58:43,0.00000000,0.0000,0.0000,0,Close,0.00,
72,1,1,Rest,00:35:30,00:35:30,0.00000000,0.5990,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:59:13,0.00000000,0.0000,0.0000,0,Close,0.00,
73,1,1,Rest,00:36:00,00:36:00,0.00000000,0.5990,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:59:43,0.00000000,0.0000,0.0000,0,Close,0.00,
74,1,1,Rest,00:36:30,00:36:30,0.00000000,0.5989,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:00:13,0.00000000,0.0000,0.0000,0,Close,0.00,
75,1,1,Rest,00:37:00,00:37:00,0.00000000,0.5989,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:00:43,0.00000000,0.0000,0.0000,0,Close,0.00,
76,1,1,Rest,00:37:30,00:37:30,0.00000000,0.5989,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:01:13,0.00000000,0.0000,0.0000,0,Close,0.00,
77,1,1,Rest,00:38:00,00:38:00,0.00000000,0.5988,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:01:43,0.00000000,0.0000,0.0000,0,Close,0.00,
78,1,1,Rest,00:38:30,00:38:30,0.00000000,0.5988,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:02:13,0.00000000,0.0000,0.0000,0,Close,0.00,
79,1,1,Rest,00:39:00,00:39:00,0.00000000,0.5988,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:02:43,0.00000000,0.0000,0.0000,0,Close,0.00,
80,1,1,Rest,00:39:30,00:39:30,0.00000000,0.5987,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:03:13,0.00000000,0.0000,0.0000,0,Close,0.00,
81,1,1,Rest,00:40:00,00:40:00,0.00000000,0.5987,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:03:43,0.00000000,0.0000,0.0000,0,Close,0.00,
82,1,1,Rest,00:40:30,00:40:30,0.00000000,0.5987,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:04:13,0.00000000,0.0000,0.0000,0,Close,0.00,
83,1,1,Rest,00:41:00,00:41:00,0.00000000,0.5986,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:04:43,0.00000000,0.0000,0.0000,0,Close,0.00,
84,1,1,Rest,00:41:30,00:41:30,0.00000000,0.5986,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:05:13,0.00000000,0.0000,0.0000,0,Close,0.00,
85,1,1,Rest,00:42:00,00:42:00,0.00000000,0.5986,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:05:43,0.00000000,0.0000,0.0000,0,Close,0.00,
86,1,1,Rest,00:42:30,00:42:30,0.00000000,0.5985,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:06:13,0.00000000,0.0000,0.0000,0,Close,0.00,
87,1,1,Rest,00:43:00,00:43:00,0.00000000,0.5985,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:06:43,0.00000000,0.0000,0.0000,0,Close,0.00,
88,1,1,Rest,00:43:30,00:43:30,0.00000000,0.5985,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:07:13,0.00000000,0.0000,0.0000,0,Close,0.00,
89,1,1,Rest,00:44:00,00:44:00,0.00000000,0.5984,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:07:43,0.00000000,0.0000,0.0000,0,Close,0.00,
90,1,1,Rest,00:44:30,00:44:30,0.00000000,0.5984,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:08:13,0.00000000,0.0000,0.0000,0,Close,0.00,
91,1,1,Rest,00:45:00,00:45:00,0.00000000,0.5983,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:08:43,0.00000000,0.0000,0.0000,0,Close,0.00,
92,1,1,Rest,00:45:30,00:45:30,0.00000000,0.5983,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:09:13,0.00000000,0.0000,0.0000,0,Close,0.00,
93,1,1,Rest,00:46:00,00:46:00,0.00000000,0.5983,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:09:43,0.00000000,0.0000,0.0000,0,Close,0.00,
94,1,1,Rest,00:46:30,00:46:30,0.00000000,0.5983,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:10:13,0.00000000,0.0000,0.0000,0,Close,0.00,
95,1,1,Rest,00:47:00,00:47:00,0.00000000,0.5982,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:10:43,0.00000000,0.0000,0.0000,0,Close,0.00,
96,1,1,Rest,00:47:30,00:47:30,0.00000000,0.5982,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:11:13,0.00000000,0.0000,0.0000,0,Close,0.00,
97,1,1,Rest,00:48:00,00:48:00,0.00000000,0.5981,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:11:43,0.00000000,0.0000,0.0000,0,Close,0.00,
98,1,1,Rest,00:48:30,00:48:30,0.00000000,0.5981,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:12:13,0.00000000,0.0000,0.0000,0,Close,0.00,
99,1,1,Rest,00:49:00,00:49:00,0.00000000,0.5981,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:12:43,0.00000000,0.0000,0.0000,0,Close,0.00,
100,1,1,Rest,00:49:30,00:49:30,0.00000000,0.5980,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:13:13,0.00000000,0.0000,0.0000,0,Close,0.00,
101,1,1,Rest,00:50:00,00:50:00,0.00000000,0.5980,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:13:43,0.00000000,0.0000,0.0000,0,Close,0.00,
102,1,1,Rest,00:50:30,00:50:30,0.00000000,0.5980,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:14:13,0.00000000,0.0000,0.0000,0,Close,0.00,
103,1,1,Rest,00:51:00,00:51:00,0.00000000,0.5979,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:14:43,0.00000000,0.0000,0.0000,0,Close,0.00,
104,1,1,Rest,00:51:30,00:51:30,0.00000000,0.5979,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 18:15:13,0.00000000,0.0000,0.0000,0,Close,0.00,
